Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID83,83,None,1546.094,48.157,14.648,0,0.600,2,0.250,1,-10921639,3836.946,3397,721,10162,141967,2411.449,0.200,0.466,1.012
ID88,88,None,1505.513,59.509,7.965,0,0.900,3,0.250,1,-10921639,2924.676,2082,463,9755,108213,2357.640,0.200,0.669,0.994
ID89,89,2,3006.041,51.911,14.465,0,0.900,3,0.250,1,-10921639,9124.459,9213,1953,15224,337605,3617.339,0.441,0.358,1.329
ID86,86,0,2094.523,75.806,5.951,0,0.900,3,0.250,1,-10921639,5716.486,5478,1435,12436,211510,2845.164,0.200,0.391,1.130
ID87,87,None,1851.709,21.973,6.866,0,0.900,3,0.250,1,-10921639,3716.432,2257,196,13918,137508,3409.247,0.200,0.667,0.873
ID98,98,None,1554.481,7.050,0.824,0,1.200,4,0.250,1,-10921639,3556.973,2923,1033,10955,131608,2437.811,0.200,0.575,1.066
ID99,99,None,1588.583,10.071,1.740,0,1.200,4,0.250,1,-10921639,3226.243,2698,356,9393,119371,2272.241,0.200,0.603,1.068
ID100,100,0,2342.776,75.714,5.859,0,1.200,4,0.250,1,-10921639,6144.486,5888,2670,11002,227346,2288.192,0.441,0.456,1.681
ID101,101,2,2487.540,51.270,14.282,0,1.200,4,0.250,1,-10921639,9098.811,9214,2593,15546,336656,3285.582,0.442,0.235,1.054
ID102,102,None,1611.347,26.367,16.937,0,1.200,4,0.250,1,-10921639,4053.108,3720,1471,7881,149965,1788.011,0.441,0.464,1.437
ID112,112,0,1725.656,75.531,5.859,0,1.500,5,0.250,1,-10921639,4614.865,4540,720,9696,170750,2367.855,0.440,0.414,1.141
ID113,113,4,1771.419,37.171,14.282,0,1.500,5,0.250,1,-10921639,4808.541,4822,1033,8300,177916,1944.082,0.442,0.423,1.471
ID115,115,2,2034.233,50.629,14.374,0,1.500,5,0.250,1,-10921639,8612.270,8755,4426,11922,318654,2056.982,0.443,0.264,1.751
ID103,103,5,1679.128,45.136,2.930,0,1.800,6,0.250,1,-10921639,3525.486,2695,782,9279,130443,2405.959,0.200,0.621,1.123
ID104,104,0,1562.073,75.714,5.951,0,1.800,6,0.250,1,-10921639,4537.135,4306,1342,10040,167874,2113.801,0.442,0.405,1.238
ID105,105,None,1562.193,57.038,6.500,0,1.800,6,0.250,1,-10921639,3750.865,2856,528,9874,138782,2661.119,0.200,0.535,0.982
ID106,106,None,1707.574,56.397,6.683,0,1.800,6,0.250,1,-10921639,4346.568,3715,684,11187,160823,2682.704,0.200,0.436,0.983
ID107,107,None,1695.148,72.327,13.367,0,1.800,6,0.250,1,-10921639,3201.054,1946,342,11885,118439,2861.494,0.200,0.734,0.947
ID108,108,2,1825.345,49.896,14.282,0,1.800,6,0.250,1,-10921639,5383.676,4583,1120,12834,199196,3160.485,0.200,0.356,0.894
ID109,109,4,1794.925,34.699,15.656,0,1.800,6,0.250,1,-10921639,3633.405,2778,305,12593,134436,3194.374,0.200,0.670,0.912
ID110,110,None,1503.374,20.508,20.691,0,1.800,6,0.250,1,-10921639,3031.459,1803,431,11955,112164,2940.260,0.200,0.700,0.849
ID111,111,None,1632.712,54.657,20.783,0,1.800,6,0.250,1,-10921639,2910.432,1825,281,11219,107686,2764.048,0.200,0.778,0.922
ID96,96,0,2665.700,75.623,5.859,0,2.100,7,0.250,1,-10921639,6933.865,7129,2021,12493,256553,2824.654,0.441,0.476,1.583
ID97,97,None,1542.544,29.389,6.775,0,2.100,7,0.250,1,-10921639,3566.973,2837,685,10832,131978,2429.226,0.200,0.505,0.986
ID4117,4117,2,-1.000,49.347,14.603,0,7.000,7,0.250,1,-10921639,5419.676,5135,2988,9352,200528,1684.952,0.950,0.093,0.545
ID94,94,5,1560.291,41.565,1.099,0,2.100,7,0.250,1,-10921639,3458.351,2970,754,9011,127959,2091.550,0.200,0.570,1.201
ID95,95,None,1503.518,3.021,5.768,0,2.100,7,0.250,1,-10921639,3789.757,3388,620,9141,140221,2217.801,0.200,0.427,1.023
ID120,120,None,1671.640,33.783,16.205,0,2.400,8,0.250,1,-10921639,3397.108,2377,658,10933,125693,2686.595,0.200,0.614,0.962
ID121,121,None,1518.287,16.846,19.135,0,2.400,8,0.250,1,-10921639,3322.108,2897,753,9126,122918,2175.273,0.200,0.560,1.096
ID122,122,None,1594.391,17.578,21.881,0,2.400,8,0.250,1,-10921639,3358.973,2430,327,9395,124282,2337.584,0.200,0.629,1.110
ID117,117,0,2363.168,75.257,5.859,0,2.400,8,0.250,1,-10921639,6924.595,6492,2098,13329,256210,2826.173,0.440,0.378,1.345
ID118,118,None,1543.650,36.804,14.191,0,2.400,8,0.250,1,-10921639,3824.000,3571,613,10758,141488,2539.326,0.200,0.435,0.913
ID119,119,2,1558.849,49.347,14.557,0,2.400,8,0.250,1,-10921639,5283.676,4820,2474,9953,195496,2130.791,0.438,0.320,1.204
ID123,123,0,3266.332,75.073,5.859,0,2.700,9,0.250,1,-10921639,7840.405,6946,2426,18287,290095,4130.104,0.441,0.530,1.315
ID124,124,None,1572.281,29.297,1.831,0,3.000,10,0.250,1,-10921639,3432.270,2410,800,11404,126994,2550.548,0.200,0.562,0.968
ID125,125,0,2724.482,75.165,5.859,0,3.000,10,0.250,1,-10921639,7377.243,6811,3137,16435,272958,3441.509,0.440,0.445,1.320
ID126,126,2,2025.430,48.157,14.557,0,3.000,10,0.250,1,-10921639,7857.216,7941,3550,11848,290717,2355.526,0.443,0.257,1.366
ID127,127,None,1534.113,47.241,21.332,0,3.000,10,0.250,1,-10921639,3240.216,2979,1068,7053,119888,1754.485,0.440,0.645,1.448
ID128,128,None,1806.438,17.029,5.859,0,3.300,11,0.250,1,-10921639,3799.649,2948,920,10408,140587,2627.417,0.200,0.596,1.080
ID129,129,0,5078.010,75.257,5.859,0,3.300,11,0.250,1,-10921639,9791.189,7634,1951,28132,362274,7086.076,0.200,0.702,1.140
ID130,130,6,1716.651,48.432,11.627,0,3.300,11,0.250,1,-10921639,3561.568,2153,730,12946,131778,3037.096,0.200,0.673,0.943
ID131,131,2,3001.390,47.516,14.465,0,3.300,11,0.250,1,-10921639,9149.514,8547,3400,18028,338532,3926.799,0.442,0.340,1.183
ID132,132,None,1619.697,3.113,5.585,0,3.600,12,0.250,1,-10921639,3823.432,3867,989,7387,141467,1849.825,0.442,0.478,1.336
ID133,133,0,4013.388,75.257,5.859,0,3.600,12,0.250,1,-10921639,8442.432,6316,1946,21372,312370,5289.775,0.200,0.581,1.173
ID134,134,2,2605.681,47.516,14.465,0,3.600,12,0.250,1,-10921639,8160.297,8024,3362,14938,301931,3053.150,0.950,0.335,1.341
ID135,135,6,1867.047,50.812,14.557,0,3.600,12,0.250,1,-10921639,4696.135,3759,1075,12405,173757,2998.760,0.200,0.486,1.025
ID136,136,0,3698.654,75.257,5.859,0,3.900,13,0.250,1,-10921639,9052.514,8630,2726,16712,334943,3753.351,0.441,0.486,1.578
ID137,137,None,1601.530,46.417,8.789,0,3.900,13,0.250,1,-10921639,3516.946,2640,501,9549,130127,2348.551,0.200,0.543,1.054
ID138,138,2,2035.618,47.150,14.374,0,3.900,13,0.250,1,-10921639,7589.757,7034,3588,11575,280821,2037.842,0.441,0.285,1.654
ID139,139,6,1659.080,50.812,14.832,0,3.900,13,0.250,1,-10921639,4623.270,4914,1110,8147,171061,1828.949,0.440,0.442,1.550
ID145,145,6,1805.208,50.903,14.740,0,4.200,14,0.250,1,-10921639,5144.162,4952,1457,8993,190334,1966.371,0.442,0.395,1.481
ID146,146,None,1862.713,68.573,18.036,0,4.200,14,0.250,1,-10921639,3557.351,2233,417,14785,131622,3472.239,0.200,0.723,0.860
ID140,140,0,3558.573,75.165,5.768,0,4.200,14,0.250,1,-10921639,8746.595,7951,1349,21099,323624,4982.109,0.200,0.506,1.179
ID141,141,None,1884.744,19.043,7.141,0,4.200,14,0.250,1,-10921639,3919.811,2732,480,11426,145033,3059.246,0.200,0.639,0.999
ID142,142,None,1512.878,54.566,13.825,0,4.200,14,0.250,1,-10921639,3447.892,2800,733,9044,127572,2177.601,0.200,0.552,1.126
ID143,143,2,2944.537,45.868,14.465,0,4.200,14,0.250,1,-10921639,8635.000,8660,1961,16140,319495,3784.625,0.440,0.357,1.200
ID147,147,None,1548.280,22.980,3.204,0,4.500,15,0.250,1,-10921639,3179.595,2161,545,10583,117645,2568.544,0.200,0.652,0.977
ID148,148,0,2700.832,75.165,5.951,0,4.500,15,0.250,1,-10921639,6946.973,6709,2516,14007,257038,3157.043,0.440,0.463,1.394
ID149,149,None,1605.776,79.834,14.008,0,4.500,15,0.250,1,-10921639,3343.459,2704,643,8988,123708,2219.662,0.200,0.570,1.093
ID150,150,2,2703.270,45.227,14.557,0,4.500,15,0.250,1,-10921639,8458.081,9294,1799,13436,312949,3202.123,0.950,0.333,1.320
ID160,160,2,4814.077,44.312,14.465,0,4.800,16,0.250,1,-10921639,13022.919,12549,5459,23065,481848,5106.142,0.441,0.443,1.566
ID161,161,6,2178.012,50.995,14.648,0,4.800,16,0.250,1,-10921639,5729.000,5169,1829,11284,211973,2731.389,0.442,0.452,1.306
ID162,162,None,1500.938,54.840,19.409,0,4.800,16,0.250,1,-10921639,3240.108,3001,430,8111,119884,2150.518,0.441,0.589,1.117
ID156,156,None,1729.720,42.755,0.732,0,4.800,16,0.250,1,-10921639,3935.324,3534,1069,11079,145607,2762.627,0.200,0.555,1.017
ID157,157,0,3485.091,75.257,5.859,0,4.800,16,0.250,1,-10921639,8280.892,6058,3287,18678,306393,4554.214,0.200,0.491,1.198
ID158,158,None,1662.685,5.310,6.317,0,4.800,16,0.250,1,-10921639,3709.216,2994,688,12960,137241,3065.815,0.200,0.564,0.873
ID159,159,None,1600.686,52.643,6.683,0,4.800,16,0.250,1,-10921639,3731.297,2696,1031,10900,138058,2589.192,0.200,0.553,1.027
ID152,152,0,2568.919,75.165,5.859,0,5.100,17,0.250,1,-10921639,6431.676,6131,1855,14393,237972,3335.901,0.200,0.435,1.170
ID153,153,7,1589.533,21.973,6.866,0,5.100,17,0.250,1,-10921639,3534.865,2222,532,15535,130790,3492.527,0.200,0.548,0.716
ID154,154,2,3189.019,44.129,14.465,0,5.100,17,0.250,1,-10921639,10570.757,10894,3791,17646,391118,3313.938,0.441,0.355,1.673
ID155,155,6,2164.620,50.903,14.648,0,5.100,17,0.250,1,-10921639,5655.757,5045,1368,11692,209263,2639.058,0.441,0.476,1.383
ID163,163,None,1657.404,20.508,1.465,0,5.400,18,0.250,1,-10921639,3673.730,3014,565,10768,135928,2567.103,0.200,0.536,0.998
ID164,164,7,1702.459,19.409,4.395,0,5.400,18,0.250,1,-10921639,3439.432,2050,373,13105,127259,3307.234,0.200,0.686,0.847
ID165,165,0,1667.091,74.982,5.859,0,5.400,18,0.250,1,-10921639,5512.541,5330,1833,11095,203964,2323.040,0.442,0.308,1.116
ID166,166,8,1724.943,42.755,7.050,0,5.400,18,0.250,1,-10921639,3683.297,2728,986,9611,136282,2308.579,0.441,0.637,1.242
ID167,167,None,1622.565,5.402,8.423,0,5.400,18,0.250,1,-10921639,3499.108,2036,419,12407,129467,3119.515,0.200,0.645,0.879
ID168,168,9,1690.889,2.014,8.606,0,5.400,18,0.250,1,-10921639,3416.270,2179,564,14274,126402,3185.234,0.200,0.661,0.853
ID169,169,None,1799.818,75.714,12.360,0,5.400,18,0.250,1,-10921639,3378.784,2546,356,9132,125015,2512.613,0.200,0.681,1.090
ID170,170,None,1558.230,7.416,12.726,0,5.400,18,0.250,1,-10921639,3588.351,2551,741,11158,132769,2675.636,0.200,0.542,0.943
ID171,171,None,1516.362,21.423,14.191,0,5.400,18,0.250,1,-10921639,3103.946,2299,563,11737,114846,2742.125,0.200,0.638,0.882
ID172,172,6,1704.557,50.995,14.648,0,5.400,18,0.250,1,-10921639,4870.054,4874,1370,9360,180192,2005.315,0.442,0.411,1.414
ID173,173,None,1557.155,27.191,18.677,0,5.400,18,0.250,1,-10921639,3609.730,3050,970,9545,133560,2229.851,0.200,0.492,1.068
ID4111,4111,2,-1.000,42.847,14.557,0,18.000,18,0.250,1,-10921639,5373.649,5214,2932,8332,198825,1469.119,0.950,0.054,0.372
ID176,176,0,2160.066,74.890,5.951,0,5.700,19,0.250,1,-10921639,5906.054,4979,2038,13335,218524,3062.816,0.200,0.374,1.050
ID177,177,9,1937.905,2.106,8.148,0,5.700,19,0.250,1,-10921639,4144.486,3262,793,12053,153346,2942.406,0.200,0.583,1.037
ID178,178,None,1584.553,12.726,13.825,0,5.700,19,0.250,1,-10921639,3609.730,2954,1055,8803,133560,2255.146,0.441,0.598,1.199
ID179,179,2,2674.537,41.931,14.465,0,5.700,19,0.250,1,-10921639,8858.730,9044,2260,15775,327773,3172.000,0.442,0.364,1.492
ID180,180,None,1524.135,10.254,17.395,0,5.700,19,0.250,1,-10921639,2964.324,2227,646,8900,109680,2263.969,0.200,0.660,1.041
ID174,174,8,1504.006,43.488,3.387,0,5.700,19,0.250,1,-10921639,3407.784,2536,462,9064,126088,2561.427,0.200,0.554,0.948
ID175,175,None,1525.499,56.030,3.662,0,5.700,19,0.250,1,-10921639,3289.784,2685,487,9137,121722,2321.789,0.200,0.584,1.044
ID188,188,2,2839.152,40.924,14.282,0,6.000,20,0.250,1,-10921639,8890.946,9022,1711,17432,328965,4055.630,0.200,0.322,1.069
ID189,189,6,1784.735,50.995,14.648,0,6.000,20,0.250,1,-10921639,4629.865,4637,1155,8913,171305,2056.386,0.443,0.438,1.372
ID187,187,0,3293.191,74.982,5.951,0,6.000,20,0.250,1,-10921639,8171.568,6568,2246,19374,302348,4499.136,0.200,0.486,1.188
ID184,184,6,3044.761,50.903,14.557,0,6.300,21,0.250,1,-10921639,6310.784,4409,709,19043,233499,4885.813,0.200,0.653,1.020
ID185,185,None,1684.967,61.249,16.571,0,6.300,21,0.250,1,-10921639,3718.595,2361,612,13415,137588,3327.902,0.200,0.624,0.859
ID186,186,None,1610.301,11.261,21.057,0,6.300,21,0.250,1,-10921639,3419.351,2877,622,8597,126516,2204.780,0.200,0.583,1.142
ID181,181,10,1957.720,4.761,2.014,0,6.300,21,0.250,1,-10921639,4043.676,2847,507,14826,149616,3570.158,0.200,0.591,0.842
ID182,182,0,2487.573,74.982,5.951,0,6.300,21,0.250,1,-10921639,7355.703,7415,2578,12355,272161,2528.809,0.442,0.413,1.702
ID183,183,2,3042.151,40.283,14.374,0,6.300,21,0.250,1,-10921639,8964.405,8829,3033,16953,331683,3795.935,0.950,0.343,1.206
ID192,192,0,3208.177,74.890,5.951,0,6.600,22,0.250,1,-10921639,8003.568,6763,2157,18367,296132,4406.878,0.200,0.442,1.113
ID193,193,None,1501.934,35.980,9.613,0,6.600,22,0.250,1,-10921639,3071.054,2207,766,9923,113629,2523.149,0.200,0.676,0.982
ID194,194,2,2920.353,38.910,14.465,0,6.600,22,0.250,1,-10921639,8392.892,8002,3980,14172,310537,3010.009,0.441,0.398,1.588
ID196,196,None,1860.572,52.643,21.698,0,6.600,22,0.250,1,-10921639,3663.838,2481,279,13754,135562,3352.260,0.200,0.678,0.883
ID197,197,None,1814.421,17.029,21.881,0,6.600,22,0.250,1,-10921639,4119.622,3669,996,10303,152426,2258.358,0.441,0.578,1.336
ID190,190,None,1513.059,15.656,3.479,0,6.600,22,0.250,1,-10921639,3152.892,2243,613,10611,116657,2557.102,0.200,0.609,0.933
ID191,191,10,1741.377,3.021,5.493,0,6.600,22,0.250,1,-10921639,3832.000,3366,903,9670,141784,2318.033,0.441,0.578,1.211
ID200,200,2,3390.189,37.537,14.374,0,6.900,23,0.250,1,-10921639,10022.892,9558,3021,17859,370847,4177.914,0.441,0.356,1.259
ID201,201,6,1802.675,50.903,14.557,0,6.900,23,0.250,1,-10921639,4734.811,4969,1042,8471,175188,2141.801,0.442,0.464,1.402
ID198,198,0,1973.494,74.982,5.951,0,6.900,23,0.250,1,-10921639,5961.324,5377,2349,11454,220569,2461.422,0.440,0.357,1.274
ID199,199,None,1539.970,6.409,10.803,0,6.900,23,0.250,1,-10921639,3229.486,2243,631,10533,119491,2612.122,0.200,0.635,0.960
ID209,209,6,2182.055,50.995,14.648,0,7.200,24,0.250,1,-10921639,4796.135,3989,1261,12264,177457,2988.479,0.200,0.521,1.099
ID202,202,None,1503.686,26.367,0.824,0,7.200,24,0.250,1,-10921639,3007.919,2192,618,9877,111293,2485.838,0.200,0.642,0.946
ID203,203,10,2004.447,3.021,5.585,0,7.200,24,0.250,1,-10921639,4515.865,3226,800,11334,167087,2700.427,0.200,0.545,1.180
ID204,204,0,1715.924,75.257,5.768,0,7.200,24,0.250,1,-10921639,5808.649,5987,2571,9380,214920,1829.395,0.441,0.318,1.533
ID205,205,11,1546.029,20.142,9.064,0,7.200,24,0.250,1,-10921639,3166.757,1895,545,10534,117170,2749.021,0.200,0.655,0.912
ID206,206,None,1538.341,23.529,11.810,0,7.200,24,0.250,1,-10921639,3499.703,2863,518,7599,129489,2050.024,0.437,0.513,1.158
ID207,207,2,4086.098,36.438,14.099,0,7.200,24,0.250,1,-10921639,11451.703,10649,3964,19562,423713,4603.004,0.441,0.390,1.396
ID210,210,0,3217.758,75.165,5.859,0,7.500,25,0.250,1,-10921639,7718.432,6530,2879,16913,285582,4032.548,0.440,0.508,1.289
ID211,211,10,1768.088,3.296,6.683,0,7.500,25,0.250,1,-10921639,3472.486,2279,418,12665,128482,2926.932,0.200,0.694,0.972
ID212,212,11,1577.198,17.487,13.275,0,7.500,25,0.250,1,-10921639,3198.054,2570,437,9576,118328,2336.835,0.200,0.647,1.076
ID213,213,2,5349.430,35.980,14.099,0,7.500,25,0.250,1,-10921639,14783.459,14499,3676,27873,546988,6522.851,0.440,0.395,1.285
ID214,214,6,2439.351,50.903,14.648,0,7.500,25,0.250,1,-10921639,5989.811,5368,2208,12227,221623,2773.247,0.441,0.495,1.430
ID215,215,None,1510.201,82.215,16.022,0,7.500,25,0.250,1,-10921639,4331.486,3758,415,12224,160265,3204.092,0.437,0.544,0.953
ID216,216,None,1780.276,2.380,17.487,0,7.500,25,0.250,1,-10921639,3652.405,2166,307,15388,135139,3540.539,0.200,0.665,0.824
ID217,217,None,1569.220,55.664,20.508,0,7.500,25,0.250,1,-10921639,3449.514,3227,1049,8073,127632,1936.830,0.440,0.554,1.269
ID218,218,None,1725.849,5.219,22.797,0,7.500,25,0.250,1,-10921639,4567.135,4382,696,8910,168984,2318.943,0.444,0.577,1.442
ID221,221,2,4736.892,35.614,14.099,0,7.800,26,0.250,1,-10921639,12284.514,11203,4139,24125,454527,5594.397,0.440,0.426,1.312
ID219,219,0,1525.007,75.257,5.951,0,7.800,26,0.250,1,-10921639,5254.757,5018,1958,8513,194426,1718.813,0.442,0.327,1.508
ID224,224,None,2105.728,50.903,14.648,0,8.100,27,0.250,1,-10921639,5450.784,5128,1876,9611,201679,2145.188,0.441,0.456,1.591
ID222,222,0,3011.789,75.165,5.768,0,8.100,27,0.250,1,-10921639,6823.216,5741,1962,17593,252459,4058.502,0.200,0.524,1.157
ID223,223,2,4676.360,35.065,14.099,0,8.100,27,0.250,1,-10921639,15820.216,16063,8133,22616,585348,3898.987,0.950,0.337,2.047
ID225,225,None,1529.780,39.917,2.289,0,8.400,28,0.250,1,-10921639,3832.081,2980,406,10585,141787,2475.082,0.443,0.489,1.017
ID226,226,0,2235.431,75.165,5.859,0,8.400,28,0.250,1,-10921639,5363.919,3894,1392,16047,198465,3792.992,0.200,0.545,0.998
ID227,227,2,2705.215,34.241,14.191,0,8.400,28,0.250,1,-10921639,11042.973,11932,6067,15020,408590,2474.762,0.441,0.264,1.863
ID228,228,None,1579.573,60.425,14.923,0,8.400,28,0.250,1,-10921639,3259.784,2785,602,8609,120612,2159.203,0.200,0.621,1.157
ID229,229,12,1645.160,37.720,16.205,0,8.400,28,0.250,1,-10921639,3647.081,3105,286,8807,134942,2411.587,0.441,0.561,1.087
ID230,230,None,1645.771,62.256,18.402,0,8.400,28,0.250,1,-10921639,3325.108,2675,397,11769,123029,2734.462,0.200,0.655,0.963
ID232,232,None,1664.400,24.628,13.733,0,8.700,29,0.250,1,-10921639,3403.027,2305,800,9734,125912,2422.901,0.200,0.650,1.107
ID234,234,2,4753.838,33.417,14.008,0,8.700,29,0.250,1,-10921639,12049.108,12114,3487,21606,445817,5398.916,0.441,0.459,1.404
ID235,235,None,1908.300,50.903,14.648,0,8.700,29,0.250,1,-10921639,4853.324,4456,1362,8652,179573,2030.251,0.442,0.455,1.495
ID236,236,12,1522.749,35.523,19.135,0,8.700,29,0.250,1,-10921639,3679.405,3239,763,8755,136138,2178.362,0.200,0.476,1.090
ID231,231,0,2510.172,75.257,5.859,0,8.700,29,0.250,1,-10921639,6321.622,6207,2295,11176,233900,2702.327,0.441,0.471,1.499
ID237,237,0,2288.283,75.257,5.768,0,9.000,30,0.250,1,-10921639,6275.865,6069,2075,11268,232207,2569.327,0.441,0.416,1.436
ID239,239,2,6171.176,33.051,14.099,0,9.000,30,0.250,1,-10921639,13585.541,13330,2812,32811,502665,7913.976,0.200,0.517,1.171
ID240,240,0,2303.499,75.257,5.859,0,9.300,31,0.250,1,-10921639,5607.784,5164,1647,12853,207488,2920.612,0.200,0.484,1.252
ID241,241,2,6243.351,32.959,14.099,0,9.300,31,0.250,1,-10921639,13808.541,11684,3344,37575,510916,8771.657,0.200,0.540,1.104
ID242,242,None,2253.357,50.903,14.648,0,9.300,31,0.250,1,-10921639,5634.378,5435,1311,10502,208472,2748.765,0.442,0.464,1.300
ID243,243,None,1524.127,20.783,15.564,0,9.300,31,0.250,1,-10921639,3067.162,2316,556,10726,113485,2549.128,0.200,0.658,0.955
ID244,244,None,1527.207,69.123,0.458,0,9.600,32,0.250,1,-10921639,3145.757,2323,623,11038,116393,2530.656,0.200,0.643,0.973
ID245,245,0,2525.967,75.348,5.676,0,9.600,32,0.250,1,-10921639,5921.378,5044,1948,11916,219091,2647.136,0.441,0.530,1.549
ID246,246,2,6075.047,33.051,14.099,0,9.600,32,0.250,1,-10921639,15280.081,14016,4982,30136,565363,7333.105,0.442,0.489,1.369
ID247,247,None,1559.165,75.623,0.000,0,9.900,33,0.250,1,-10921639,3724.135,2956,1376,8333,137793,1945.186,0.439,0.613,1.455
ID248,248,None,1504.079,17.120,0.549,0,9.900,33,0.250,1,-10921639,3312.054,2677,949,8617,122546,2138.205,0.200,0.581,1.139
ID249,249,0,2524.009,74.890,5.859,0,9.900,33,0.250,1,-10921639,6137.378,5197,1188,13933,227083,3414.604,0.441,0.494,1.189
ID250,250,None,1617.031,80.475,5.951,0,9.900,33,0.250,1,-10921639,3421.243,2797,669,9271,126586,2434.252,0.200,0.585,1.037
ID251,251,None,1566.982,16.205,9.064,0,9.900,33,0.250,1,-10921639,3748.108,3156,989,10552,138680,2315.942,0.200,0.547,1.145
ID252,252,13,2022.112,34.424,13.733,0,9.900,33,0.250,1,-10921639,5400.135,5336,1281,10336,199805,2369.245,0.439,0.442,1.396
ID253,253,2,6110.565,32.959,14.099,0,9.900,33,0.250,1,-10921639,14641.351,12930,4154,28805,541730,7048.869,0.442,0.502,1.388
ID254,254,None,1964.586,50.995,14.648,0,9.900,33,0.250,1,-10921639,4742.270,4102,1191,10814,175464,2676.653,0.441,0.506,1.190
ID255,255,None,1542.762,32.318,17.395,0,9.900,33,0.250,1,-10921639,2923.243,2230,380,8641,108160,2189.520,0.200,0.643,1.045
ID256,256,0,2297.287,74.433,5.768,0,10.200,34,0.250,1,-10921639,6586.216,6494,2645,11238,243690,2279.879,0.441,0.401,1.654
ID257,257,13,1979.542,34.607,13.825,0,10.200,34,0.250,1,-10921639,4611.216,3848,1512,9756,170615,2335.146,0.440,0.572,1.437
ID258,258,2,5649.292,32.868,14.099,0,10.200,34,0.250,1,-10921639,13494.189,11740,3307,29347,499285,7087.363,0.441,0.527,1.314
ID260,260,0,2127.480,73.975,5.951,0,10.500,35,0.250,1,-10921639,7501.162,7408,3510,11819,277543,2459.600,0.950,0.316,1.465
ID261,261,2,3433.726,32.776,14.099,0,10.500,35,0.250,1,-10921639,10223.730,9880,3749,17773,378278,3962.190,0.950,0.351,1.340
ID264,264,14,2577.298,50.903,14.648,0,10.800,36,0.250,1,-10921639,5676.270,4724,1655,14758,210022,3507.548,0.200,0.533,1.125
ID262,262,0,3289.555,72.785,6.042,0,10.800,36,0.250,1,-10921639,10943.541,10930,4684,18487,404911,3852.724,0.441,0.344,1.454
ID263,263,2,4672.390,31.769,14.099,0,10.800,36,0.250,1,-10921639,13526.811,13696,3208,24076,500492,5760.239,0.950,0.390,1.317
ID265,265,None,1684.617,47.150,0.824,0,11.100,37,0.250,1,-10921639,3352.297,2354,311,13256,124035,3126.339,0.200,0.646,0.842
ID266,266,None,1586.023,9.979,5.676,0,11.100,37,0.250,1,-10921639,3371.486,2508,982,10590,124745,2460.031,0.200,0.606,1.034
ID267,267,0,5061.511,71.869,5.859,0,11.100,37,0.250,1,-10921639,12923.757,12939,3610,23018,478179,5585.872,0.441,0.477,1.494
ID268,268,2,4883.445,31.403,14.099,0,11.100,37,0.250,1,-10921639,12332.270,11385,2483,26229,456294,6139.804,0.440,0.443,1.233
